"ila","ils","bb_type","events"
320000,930000,"fly_ball","double"
320000,931000,"fly_ball","double"
390000,890000,"fly_ball","double_play"
390000,890000,"fly_ball","field_error"
390000,890000,"fly_ball","field_out"
300000,1030000,"fly_ball","home_run"
390000,890000,"fly_ball","sac_fly"
360000,710000,"fly_ball","single"
360000,714000,"fly_ball","single"
310000,970000,"fly_ball","triple"
313000,969000,"fly_ball","triple"
-130000,900000,"ground_ball","double"
-130000,902000,"ground_ball","double"
-210000,830000,"ground_ball","double_play"
-200000,840000,"ground_ball","field_error"
-210000,830000,"ground_ball","fielders_choice"
-390000,410000,"ground_ball","fielders_choice_out"
-210000,830000,"ground_ball","field_out"
-210000,830000,"ground_ball","force_out"
-210000,830000,"ground_ball","grounded_into_double_play"
-390000,410000,"ground_ball","sac_bunt"
-173000,903000,"ground_ball","single"
-170000,900000,"ground_ball","single"
-121000,943000,"ground_ball","triple"
-120000,940000,"ground_ball","triple"
170000,990000,"line_drive","double"
171000,988000,"line_drive","double"
180000,910000,"line_drive","double_play"
160000,960000,"line_drive","field_error"
180000,910000,"line_drive","field_out"
180000,910000,"line_drive","force_out"
240000,1040000,"line_drive","home_run"
180000,910000,"line_drive","sac_fly"
150000,900000,"line_drive","single"
146000,904000,"line_drive","single"
180000,990000,"line_drive","triple"
180000,984000,"line_drive","triple"
630000,890000,"popup","double"
690000,800000,"popup","double_play"
650000,810000,"popup","field_error"
690000,800000,"popup","field_out"
620000,370000,"popup","field_out"
690000,800000,"popup","force_out"
670000,860000,"popup","single"
